,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,city-L/100km,horsepower-binned,diesel,gas
141,0,102,subaru,turbo,four,sedan,4wd,front,97,0.8265257088,0.9083333333,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,9.7916666667,Medium,0,1
142,0,89,subaru,std,four,wagon,fwd,front,97,0.8337337818,0.9083333333,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,8.3928571429,Low,0,1
143,0,89,subaru,std,four,wagon,fwd,front,97,0.8337337818,0.9083333333,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,9.4,Low,0,1
144,0,85,subaru,std,four,wagon,4wd,front,96.9,0.83421432,0.9083333333,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,10.2173913043,Low,0,1
145,0,85,subaru,turbo,four,wagon,4wd,front,96.9,0.83421432,0.9083333333,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,10.2173913043,Medium,0,1
146,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.7626141278,0.8833333333,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39,6.7142857143,Low,0,1
147,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.7626141278,0.8833333333,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,7.5806451613,Low,0,1
148,1,74,toyota,std,four,hatchback,fwd,front,95.7,0.7626141278,0.8833333333,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,7.5806451613,Low,0,1
149,0,77,toyota,std,four,wagon,fwd,front,95.7,0.8154733301,0.8833333333,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,7.5806451613,Low,0,1
150,0,81,toyota,std,four,wagon,4wd,front,95.7,0.8154733301,0.8833333333,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8.7037037037,Low,0,1
151,0,91,toyota,std,four,wagon,4wd,front,95.7,0.8154733301,0.8833333333,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8.7037037037,Low,0,1
152,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312,0.8944444444,53,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,7.8333333333,Low,0,1
153,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.7991350312,0.8944444444,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,7.8333333333,Low,0,1
154,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312,0.8944444444,53,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,6.9117647059,Low,1,0
155,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.7991350312,0.8944444444,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,6.1842105263,Low,1,0
156,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312,0.8944444444,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,6.1842105263,Low,0,1
157,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.7991350312,0.8944444444,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8.3928571429,Low,0,1
158,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312,0.8944444444,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8.3928571429,Low,0,1
159,1,168,toyota,std,two,sedan,rwd,front,94.5,0.8106679481,0.8888888889,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8.1034482759,Low,0,1
160,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.8106679481,0.8888888889,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8.1034482759,Low,0,1
161,1,168,toyota,std,two,sedan,rwd,front,94.5,0.8106679481,0.8888888889,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9.0384615385,Medium,0,1
162,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.8106679481,0.8888888889,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9.0384615385,Medium,0,1
163,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.8467083133,0.9111111111,52,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.7916666667,Medium,0,1
164,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.8467083133,0.9111111111,52,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.7916666667,Medium,0,1
165,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.8467083133,0.9111111111,52,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.7916666667,Medium,0,1
166,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.8467083133,0.9111111111,52,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.7916666667,Medium,0,1
167,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.8467083133,0.9111111111,52,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.7916666667,Medium,0,1
168,2,134,toyota,std,two,convertible,rwd,front,98.4,0.8467083133,0.9111111111,53,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.7916666667,Medium,0,1
169,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.8438250841,0.9236111111,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8.1034482759,Low,0,1
170,-1,65,toyota,turbo,four,sedan,fwd,front,102.4,0.8438250841,0.9236111111,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,7.8333333333,Low,1,0
171,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.8438250841,0.9236111111,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,8.7037037037,Low,0,1
172,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.8438250841,0.9236111111,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,8.7037037037,Low,0,1
173,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.8438250841,0.9236111111,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,8.7037037037,Low,0,1
174,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.8817876021,0.9402777778,52,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,11.75,High,0,1
175,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.8817876021,0.9402777778,52,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,12.3684210526,High,0,1
176,-1,90,toyota,std,four,sedan,rwd,front,104.5,0.9024507448,0.9236111111,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,11.75,High,0,1
177,-1,122,toyota,std,four,wagon,rwd,front,104.5,0.9024507448,0.9236111111,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,12.3684210526,High,0,1
178,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.8250840942,0.9097222222,55.7,2261,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,6.3513513514,Low,1,0
179,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.8250840942,0.9097222222,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8.7037037037,Low,0,1
180,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840942,0.9097222222,55.7,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,6.3513513514,Low,1,0
181,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840942,0.9097222222,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8.7037037037,Low,0,1
182,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840942,0.9097222222,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8.7037037037,Low,0,1
183,2,94,volkswagen,turbo,four,sedan,fwd,front,97.3,0.8250840942,0.9097222222,55.7,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,6.3513513514,Low,1,0
184,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840942,0.9097222222,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32,9.0384615385,Low,0,1
185,3,122,volkswagen,std,two,convertible,fwd,front,94.5,0.765497357,0.8916666667,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9.7916666667,Low,0,1
186,3,256,volkswagen,std,two,hatchback,fwd,front,94.5,0.796251802,0.8888888889,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9.7916666667,Low,0,1
187,0,122,volkswagen,std,four,sedan,fwd,front,100.4,0.8659298414,0.9291666667,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,12.3684210526,Medium,0,1
188,0,122,volkswagen,turbo,four,sedan,fwd,front,100.4,0.8659298414,0.9291666667,55.1,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,33,38,7.1212121212,Low,1,0
189,0,122,volkswagen,std,four,wagon,fwd,front,100.4,0.8798654493,0.9291666667,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,9.4,Low,0,1
190,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.9072561269,0.9333333333,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,10.2173913043,Medium,0,1
191,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.9072561269,0.9333333333,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,10.2173913043,Medium,0,1
192,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.9072561269,0.9333333333,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,9.7916666667,Medium,0,1
193,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.9072561269,0.9333333333,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,9.7916666667,Medium,0,1
194,-2,103,volvo,turbo,four,sedan,rwd,front,104.3,0.9072561269,0.9333333333,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,13.8235294118,High,0,1
195,-1,74,volvo,turbo,four,wagon,rwd,front,104.3,0.9072561269,0.9333333333,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,13.8235294118,High,0,1
196,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.9072561269,0.9569444444,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,10.2173913043,Medium,0,1
197,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.9072561269,0.9555555556,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,12.3684210526,High,0,1
198,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.9072561269,0.9569444444,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,13.0555555556,Medium,0,1
199,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.9072561269,0.9569444444,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,9.0384615385,Medium,1,0
200,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.9072561269,0.9569444444,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,12.3684210526,Medium,0,1
